species,status,trend
Campuloclinium macrocephalum,"NA","NA"
Noticastrum diffusum,"NA","NA"
Bidens aurea,"NA","NA"
Tessaria absinthioides,"NA","NA"
Baccharis notosergila,"NA","NA"
Gamochaeta falcata,"NA","NA"
Senecio platensis,"NA","NA"
Gyptis tanacetifolia,"NA","NA"
Matricaria chamomilla,"NA","NA"
Campovassouria cruciata,"NA","NA"
Anthemis cotula,"NA","NA"
Melaleuca citrina,"NA","NA"
Pterocaulon polystachyum,"NA","NA"
Stevia satureiifolia,"NA","NA"
Hypochaeris radicata,"NA","NA"
Pluchea sagittalis,"NA","NA"
Sesbania virgata,LC,Stable
Erythrina crista-galli,LC,Stable
Microgyne trifurcata,"NA","NA"
Senecio madagascariensis,"NA","NA"
Berroa gnaphalioides,"NA","NA"
Eclipta elliptica,"NA","NA"
Peltophorum dubium,LC,Stable
Spartium junceum,"NA","NA"
Schlechtendalia luzulifolia,"NA","NA"
Vachellia caven,LC,Stable
Vicia faba,"NA","NA"
Senna corymbosa,LC,Stable
Senecio brasiliensis,"NA","NA"
Feijoa sellowiana,LC,Stable
Mimosa bifurca,"NA","NA"
Centrosema virginianum,"NA","NA"
Trifolium polymorphum,"NA","NA"
Blepharocalyx salicifolius,"NA","NA"
Eugenia uniflora,LC,Unknown
Trifolium pratense,LC,Stable
Chrysolaena flexuosa,"NA","NA"
Cynara cardunculus,"NA","NA"
Lupinus multiflorus,"NA","NA"
Cirsium vulgare,"NA","NA"
Albizia julibrissin,"NA","NA"
Psidium cattleyanum,"NA","NA"
Bidens pilosa,"NA","NA"
Erigeron blakei,"NA","NA"
Mimosa australis,"NA","NA"
Grazielia serrata,"NA","NA"
Solidago chilensis,"NA","NA"
Chromolaena hirsuta,"NA","NA"
Elephantopus mollis,"NA","NA"
Vachellia karroo,LC,Stable
Calliandra tweediei,LC,Stable
Myrceugenia glaucescens,"NA","NA"
Verbesina subcordata,"NA","NA"
Achyrocline saturejoides,"NA","NA"
Bauhinia forficata,LC,Stable
Centaurea solstitialis,"NA","NA"
Baccharis coridifolia,"NA","NA"
Desmodium incanum,"NA","NA"
Grindelia pulchella,"NA","NA"
Helenium radiatum,"NA","NA"
Coreopsis lanceolata,"NA","NA"
Vernonanthura montevidensis,"NA","NA"
Chamaemelum mixtum,"NA","NA"
Acmella decumbens,"NA","NA"
Picrosia longifolia,"NA","NA"
Senecio crassiflorus,"NA","NA"
Lupinus bracteolaris,"NA","NA"
Pamphalea heterophylla,"NA","NA"
Vicia benghalensis,"NA","NA"
Chaptalia piloselloides,"NA","NA"
Trixis praestans,"NA","NA"
Acacia dealbata,LC,Unknown
Taraxacum officinale,"NA","NA"
Chromolaena ivifolia,"NA","NA"
Bidens subalternans,"NA","NA"
Arctium minus,"NA","NA"
Prosopis affinis,DD,NA
Austroeupatorium inulifolium,"NA","NA"
Camptosema rubicundum,"NA","NA"
Holocheilus hieracioides,"NA","NA"
Lessingianthus plantaginodes,"NA","NA"
Senecio bonariensis,"NA","NA"
Senecio pterophorus,"NA","NA"
Sonchus oleraceus,"NA","NA"
Gymnocoronis spilanthoides,"NA","NA"
Lotus corniculatus,"NA","NA"
Cichorium intybus,"NA","NA"
Geoffroea decorticans,LC,Stable
Myrrhinium atropurpureum,LC,Stable
Carduus acanthoides,"NA","NA"
Macroptilium prostratum,"NA","NA"
Chromolaena christieana,"NA","NA"
Myrcianthes cisplatensis,"NA","NA"
Baccharis trimera,"NA","NA"
Vernonanthura nudiflora,"NA","NA"
Urolepis hecatantha,"NA","NA"
Smallanthus connatus,"NA","NA"
Galactia marginalis,"NA","NA"
Sesbania punicea,LC,Stable
Trichocline humilis,"NA","NA"
Medicago sativa,LC,Stable
Eclipta prostrata,LC,Stable
Galinsoga parviflora,"NA","NA"
Aldama anchusifolia,"NA","NA"
Hypochaeris albiflora,"NA","NA"
Pseudogynoxys chenopodioides,"NA","NA"
Helianthus tuberosus,LC,Stable
Enterolobium contortisiliquum,LC,Stable
Trifolium repens,"NA","NA"
Youngia japonica,"NA","NA"
Soliva sessilis,"NA","NA"
Acacia longifolia,LC,Unknown
Xanthium strumarium,"NA","NA"
Sonchus asper,"NA","NA"
Helianthus annuus,LC,Stable
Hymenoxys anthemoides,"NA","NA"
Erigeron lorentzii,"NA","NA"
Eucalyptus cinerea,NT,Stable
Coleostephus myconis,"NA","NA"
Senecio selloi,"NA","NA"
Gleditsia triacanthos,LC,Stable
Baccharis articulata,"NA","NA"
Hedypnois rhagadioloides,"NA","NA"
Hypochaeris chillensis,"NA","NA"
Adesmia securigerifolia,"NA","NA"
Pseudognaphalium cheiranthifolium,"NA","NA"
Arachis villosa,NT,Unknown
Hieracium commersonii,"NA","NA"
Trifolium campestre,"NA","NA"
Myrcianthes pungens,EN,NA
Urospermum picroides,"NA","NA"
Lathyrus nervosus,"NA","NA"
Carduus nutans,"NA","NA"
Helminthotheca echioides,"NA","NA"
Baccharis dracunculifolia,"NA","NA"
Erigeron bonariensis,"NA","NA"
Trichocline cisplatina,"NA","NA"
Baccharis ochracea,"NA","NA"
Acacia melanoxylon,"NA","NA"
Lactuca serriola,"NA","NA"
Melilotus albus,"NA","NA"
Aspilia montevidensis,"NA","NA"
Lessingianthus macrocephalus,"NA","NA"
Sommerfeltia cabrerae,"NA","NA"
Senecio pulcher,"NA","NA"
Mimosa uraguensis,"NA","NA"
Mutisia coccinea,"NA","NA"
Acanthostyles buniifolius,"NA","NA"
Criscia stricta,"NA","NA"
Baccharis glutinosa,"NA","NA"
Prosopis nigra,DD,NA
Xanthium cavanillesii,"NA","NA"
Baccharis punctulata,LC,Stable
Pterocaulon balansae,"NA","NA"
Pseudognaphalium gaudichaudianum,"NA","NA"
Hysterionica resinosa,"NA","NA"
Poecilanthe parviflora,DD,NA
Tipuana tipu,LC,Stable
Vigna longifolia,LC,Stable
Thelesperma megapotamicum,"NA","NA"
Chamaecrista repens,"NA","NA"
Trichocline incana,"NA","NA"
Isostigma peucedanifolium,"NA","NA"
Porophyllum linifolium,"NA","NA"
Chaptalia sinuata,"NA","NA"
Neja pinifolia,"NA","NA"
Neptunia pubescens,"NA","NA"
Porophyllum ruderale,"NA","NA"
Chromolaena squarrulosa,"NA","NA"
Elephantopus angustifolius,"NA","NA"
Stenocephalum megapotamicum,"NA","NA"
Collaea stenophylla,"NA","NA"
Rhynchosia lineata,"NA","NA"
Calyptocarpus brasiliensis,"NA","NA"
Carthamus lanatus,"NA","NA"
Lotus tenuis,"NA","NA"
Cotula nigellifolia,"NA","NA"
Mimosa ramulosa,"NA","NA"
Mimosa dutrae,"NA","NA"
Helenium amarum,"NA","NA"
Baccharis oxyodonta,"NA","NA"
Jaumea linearifolia,"NA","NA"
Mimosa strigillosa,"NA","NA"
Baccharis crispa,"NA","NA"
Eucalyptus sideroxylon,LC,Stable
Pterocaulon lorentzii,"NA","NA"
Lucilia nitens,"NA","NA"
Baccharis linearifolia,"NA","NA"
Acanthospermum australe,"NA","NA"
Enydra sessilis,"NA","NA"
Vigna luteola,LC,Stable
Zinnia elegans,"NA","NA"
Lucilia acutifolia,"NA","NA"
Baccharis microdonta,"NA","NA"
Noticastrum acuminatum,"NA","NA"
Noticastrum malmei,"NA","NA"
Ambrosia artemisiifolia,"NA","NA"
Chromolaena laevigata,"NA","NA"
Sommerfeltia spinulosa,"NA","NA"
Pterocaulon virgatum,"NA","NA"
Bidens laevis,"NA","NA"
Erechtites hieraciifolius,"NA","NA"
Mikania cordifolia,"NA","NA"
Inga uraguensis,"NA","NA"
Parkinsonia aculeata,LC,Stable
Mimosa flagellaris,"NA","NA"
Mikania thapsoides,"NA","NA"
Hatschbachiella tweedieana,"NA","NA"
Glebionis coronaria,"NA","NA"
Barrosoa candolleana,"NA","NA"
Senegalia bonariensis,"NA","NA"
Pterocaulon angustifolium,"NA","NA"
Ulex europaeus,LC,Stable
Xanthium spinosum,"NA","NA"
Baccharis vulneraria,"NA","NA"
Tagetes minuta,"NA","NA"
Wisteria sinensis,"NA","NA"
Mimosa sprengelii,"NA","NA"
Baccharis spicata,"NA","NA"
Myrciaria tenella,"NA","NA"
Gyptis pinnatifida,"NA","NA"
Baccharis aliena,"NA","NA"
Grazielia brevipetiolata,"NA","NA"
Symphyotrichum subulatum,"NA","NA"
Medicago lupulina,"NA","NA"
Eucalyptus globulus,LC,Stable
Dimorphotheca ecklonis,"NA","NA"
Grindelia orientalis,"NA","NA"
Baccharis patens,"NA","NA"
Baccharis tridentata,"NA","NA"
Acacia podalyriifolia,LC,Increasing
Ambrosia tenuifolia,"NA","NA"
Lupinus gibertianus,"NA","NA"
Vachellia farnesiana,LC,Stable
Acmella bellidioides,"NA","NA"
Chaptalia exscapa,"NA","NA"
Cotula australis,"NA","NA"
Senecio ostenii,"NA","NA"
Senecio vulgaris,"NA","NA"
Adesmia bicolor,"NA","NA"
Leucanthemum vulgare,"NA","NA"
Baccharis phyteumoides,"NA","NA"
Lathyrus pubescens,"NA","NA"
Chaptalia arechavaletae,"NA","NA"
Adesmia punctata,"NA","NA"
Genista monspessulana,"NA","NA"
Senecio pinnatus,"NA","NA"
Perezia multiflora,"NA","NA"
Chevreulia sarmentosa,"NA","NA"
Gamochaeta americana,"NA","NA"
Medicago arabica,"NA","NA"
Calea uniflora,"NA","NA"
Hypochaeris megapotamica,"NA","NA"
Hypochaeris variegata,"NA","NA"
Chaptalia nutans,"NA","NA"
Eugenia uruguayensis,LC,Stable
Senecio tweediei,"NA","NA"
Mimosa burkartii,"NA","NA"
Melilotus indicus,"NA","NA"
Holocheilus brasiliensis,"NA","NA"
Vicia sativa,LC,Stable
Angelphytum grisebachii,"NA","NA"
Erythrostemon gilliesii,"NA","NA"
Exostigma rivulare,"NA","NA"
Gyptis commersonii,"NA","NA"
Psidium salutare,LC,Unknown
Radlkoferotoma cistifolium,"NA","NA"
Senecio viravira,"NA","NA"
Achillea millefolium,LC,Unknown
Cosmos bipinnatus,"NA","NA"
Galactia australis,"NA","NA"
Canavalia bonariensis,"NA","NA"
Aeschynomene montevidensis,"NA","NA"
Erigeron canadensis,"NA","NA"
Cotula coronopifolia,"NA","NA"
Psidium guajava,LC,Unknown
Lactuca saligna,"NA","NA"
Gazania rigens,"NA","NA"
Panphalea heterophylla,"NA","NA"
Mimosa pilulifera,LC,Stable
Calliandra selloi,"NA","NA"
Glycine max,"NA","NA"
Clitoria nana,"NA","NA"
Myrceugenia myrtoides,"NA","NA"
Podocoma hirsuta,"NA","NA"
Arachis burkartii,"NA","NA"
Gleditsia amorphoides,"NA","NA"
Indigofera asperifolia,LC,Unknown
Pterocaulon cordobense,"NA","NA"
Hysterionica montevidensis,"NA","NA"
Myrcia palustris,LC,Stable
Stylosanthes leiocarpa,"NA","NA"
Stevia aristata,"NA","NA"
Trixis nobilis,"NA","NA"
Lupinus lanatus,"NA","NA"
Stevia multiaristata,"NA","NA"
Noticastrum marginatum,"NA","NA"
Senna scabriuscula,"NA","NA"
Chamaecrista flexuosa,"NA","NA"
Tephrosia cinerea,"NA","NA"
Cosmos sulphureus,"NA","NA"
Stylosanthes montevidensis,"NA","NA"
Senecio ceratophylloides,"NA","NA"
Eucalyptus robusta,NT,Decreasing
Ancistrotropis clitorioides,"NA","NA"
Silybum marianum,LC,Stable
Baccharis gnaphalioides,"NA","NA"
Facelis retusa,"NA","NA"
Baccharis jocheniana,"NA","NA"
Micropsis spathulata,"NA","NA"
Baccharis salicifolia,LC,Decreasing
Taraxacum erythrospermum,"NA","NA"
Medicago polymorpha,"NA","NA"
Pamphalea bupleurifolia,"NA","NA"
Centaurea calcitrapa,"NA","NA"
Mimosa axillarioides,"NA","NA"
Mimosa schleidenii,"NA","NA"
Lathyrus subulatus,"NA","NA"
Lathyrus pusillus,"NA","NA"
Lupinus albescens,"NA","NA"
Senecio heterotrichius,"NA","NA"
Exostigma notobellidiastrum,"NA","NA"
Stenachaenium riedelii,"NA","NA"
Stenachaenium megapotamicum,"NA","NA"
Medicago minima,"NA","NA"
Senecio angulatus,"NA","NA"
Carduus pycnocephalus,"NA","NA"
Pomaria pilosa,"NA","NA"
Calliandra parvifolia,LC,Stable
Tragopogon porrifolius,"NA","NA"
Syzygium jambos,LC,Stable
Mikania involucrata,"NA","NA"
Myrcianthes gigantea,"NA","NA"
Psoralea pinnata,"NA","NA"
Lotus subbiflorus,"NA","NA"
Lessingianthus rubricaulis,"NA","NA"
Senna nana,"NA","NA"
Galinsoga quadriradiata,"NA","NA"
Grazielia intermedia,"NA","NA"
Calea cymosa,"NA","NA"
Lessingianthus brevifolius,"NA","NA"
Baccharis psiadioides,"NA","NA"
Hysterionica chamomilloides,"NA","NA"
Galactia pretiosa,"NA","NA"
Dimerostemma grisebachii,"NA","NA"
Chaptalia integerrima,"NA","NA"
Baccharis genistifolia,"NA","NA"
Calendula officinalis,"NA","NA"
Galactia gracillima,"NA","NA"
Albizia inundata,LC,Stable
Trichocline minuana,"NA","NA"
Poiretia tetraphylla,"NA","NA"
Discolobium psoraleifolium,"NA","NA"
Lessingianthus sellowii,"NA","NA"
Erigeron primulifolius,"NA","NA"
Microgyne marchesiana,"NA","NA"
Lessingianthus glabratus,"NA","NA"
Barrosoa betoniciformis,"NA","NA"
Lactuca sativa,"NA","NA"
Chrysolaena platensis,"NA","NA"
Pomaria rubicunda,"NA","NA"
Desmodium arechavaletae,"NA","NA"
Cyrtocymura scorpioides,"NA","NA"
Moquiniastrum polymorphum,LC,Stable
Pterocaulon polypterum,"NA","NA"
Hypochaeris grisebachii,"NA","NA"
Desmanthus acuminatus,"NA","NA"
Desmodium affine,"NA","NA"
Aspilia silphioides,"NA","NA"
Mimosa bimucronata,LC,Stable
Baccharis anomala,"NA","NA"
Adesmia latifolia,"NA","NA"
Dasyphyllum spinescens,LC,Stable
Mikania pinnatiloba,"NA","NA"
Chrysolaena cognata,"NA","NA"
Rhynchosia senna,LC,Stable
Baccharis rectialata,"NA","NA"
Gyptis lanigera,"NA","NA"
Adesmia incana,"NA","NA"
Stenachaenium macrocephalum,"NA","NA"
Mimosa paupera,"NA","NA"
Mimosa pigra,LC,Stable
Macroptilium lathyroides,"NA","NA"
Mimosa magentea,"NA","NA"
Tanacetum vulgare,"NA","NA"
Parapiptadenia rigida,LC,Stable
Calea clematidea,"NA","NA"
Lespedeza bicolor,"NA","NA"
Chrysanthellum indicum,"NA","NA"
Mikania anethifolia,"NA","NA"
Stevia cinerascens,"NA","NA"
Austroeupatorium laetevirens,"NA","NA"
Jungia floribunda,"NA","NA"
Chromolaena callilepis,"NA","NA"
Leptospron adenanthum,"NA","NA"
Erechtites valerianifolius,"NA","NA"
Chromolaena caaguazuensis,"NA","NA"
Calyptranthes concinna,"NA","NA"
Baccharis breviseta,"NA","NA"
Santolina chamaecyparissus,"NA","NA"
Galactia benthamiana,"NA","NA"
Eclipta megapotamica,"NA","NA"
Euryops chrysanthemoides,"NA","NA"
Raulinoreitzia tremula,"NA","NA"
Adenostemma brasilianum,"NA","NA"
Baccharis cultrata,"NA","NA"
Myrceugenia euosma,"NA","NA"
Rhynchosia corylifolia,"NA","NA"
Senecio tamoides,"NA","NA"
Calliandra parviflora,"NA","NA"
Stevia entreriensis,"NA","NA"
Senegalia picachensis,"NA","NA"
Acacia baileyana,"NA","NA"
Lupinus linearis,"NA","NA"
Robinia pseudoacacia,LC,Increasing
Achyrocline flaccida,"NA","NA"
Bauhinia variegata,LC,Stable
Delairea odorata,"NA","NA"
Perezia squarrosa,"NA","NA"
Radlkoferotoma berroi,"NA","NA"
