,Grupo,Orden,Familia,Nombre Científico,Nombres comunes,Estado de Conservación,Nativa
34,Vasculares,Asterales,Asteraceae,Acanthostyles buniifolius ,chirca,No Prioritaria,Si
97,Vasculares,Asterales,Asteraceae,Aldama breviflosculosa ,NA,PRIORITARIA SNAP,Si
98,Vasculares,Asterales,Asteraceae,Aldama nudicaulis ,NA,PRIORITARIA SNAP,Si
2,Vasculares,Asterales,Asteraceae,Asteropsis megapotamica,NA,PRIORITARIA SNAP,Si
50,Vasculares,Asterales,Asteraceae,Baccharis aliena ,romerillo,No Prioritaria,Si
5,Vasculares,Asterales,Asteraceae,Baccharis anomala,NA,No Prioritaria,Si
6,Vasculares,Asterales,Asteraceae,Baccharis artemisioides,NA,PRIORITARIA SNAP,Si
7,Vasculares,Asterales,Asteraceae,Baccharis articulata,carquejilla,No Prioritaria,Si
3,Vasculares,Asterales,Asteraceae,Baccharis breviseta ,chirca de bañado,No Prioritaria,Si
8,Vasculares,Asterales,Asteraceae,Baccharis caprariifolia,NA,PRIORITARIA SNAP,Si
9,Vasculares,Asterales,Asteraceae,Baccharis cognata,chirca de monte,No Prioritaria,Si
10,Vasculares,Asterales,Asteraceae,Baccharis cultrata,chirca,No Prioritaria,Si
11,Vasculares,Asterales,Asteraceae,Baccharis darwinii,NA,PRIORITARIA SNAP,Si
12,Vasculares,Asterales,Asteraceae,Baccharis dracunculifolia,chirca,No Prioritaria,Si
13,Vasculares,Asterales,Asteraceae,Baccharis flabellata,chirca,No Prioritaria,Si
14,Vasculares,Asterales,Asteraceae,Baccharis gibertii,NA,PRIORITARIA SNAP,Si
15,Vasculares,Asterales,Asteraceae,Baccharis hirta,NA,PRIORITARIA SNAP,Si
16,Vasculares,Asterales,Asteraceae,Baccharis juncea,NA,PRIORITARIA SNAP,Si
20,Vasculares,Asterales,Asteraceae,Baccharis linearifolia ,NA,PRIORITARIA SNAP,Si
17,Vasculares,Asterales,Asteraceae,Baccharis microcephala,carqueja de bañado,No Prioritaria,Si
18,Vasculares,Asterales,Asteraceae,Baccharis microdonta,chirca,No Prioritaria,Si
19,Vasculares,Asterales,Asteraceae,Baccharis palustris,NA,PRIORITARIA SNAP,Si
51,Vasculares,Asterales,Asteraceae,Baccharis psiadioides ,NA,PRIORITARIA SNAP,Si
21,Vasculares,Asterales,Asteraceae,Baccharis punctulata,chirca de bañado,No Prioritaria,Si
22,Vasculares,Asterales,Asteraceae,Baccharis sagittalis,NA,No Prioritaria,Si
23,Vasculares,Asterales,Asteraceae,Baccharis spicata,chirca blanca,No Prioritaria,Si
24,Vasculares,Asterales,Asteraceae,Baccharis tridentata ,NA,No Prioritaria,Si
4,Vasculares,Asterales,Asteraceae,Baccharis vulneraria ,chirca de bañado,No Prioritaria,Si
35,Vasculares,Asterales,Asteraceae,Campovassouria cruciata ,chirca,No Prioritaria,Si
29,Vasculares,Asterales,Asteraceae,Chaptalia mandonii,NA,PRIORITARIA SNAP,Si
40,Vasculares,Asterales,Asteraceae,Chromolaena ivifolia ,NA,PRIORITARIA SNAP,Si
38,Vasculares,Asterales,Asteraceae,Chromolaena laevigata ,chirca de bañado,No Prioritaria,Si
30,Vasculares,Asterales,Asteraceae,Coleostephus myconis,margarita de piria,No evaluada,No
31,Vasculares,Asterales,Asteraceae,Conyza lorentzii,NA,PRIORITARIA SNAP,Si
32,Vasculares,Asterales,Asteraceae,Conyza macrophylla,NA,PRIORITARIA SNAP,Si
96,Vasculares,Asterales,Asteraceae,Cyrtocymura scorpioides ,NA,No Prioritaria,Si
1,Vasculares,Asterales,Asteraceae,Dimerostemma arnottii,NA,PRIORITARIA SNAP,Si
36,Vasculares,Asterales,Asteraceae,Disynaphia ericoides ,NA,PRIORITARIA SNAP,Si
45,Vasculares,Asterales,Asteraceae,Gaillardia megapotamica,NA,PRIORITARIA SNAP,Si
33,Vasculares,Asterales,Asteraceae,Grazielia brevipetiolata ,NA,PRIORITARIA SNAP,Si
37,Vasculares,Asterales,Asteraceae,Grazielia intermedia ,chirca,No Prioritaria,Si
42,Vasculares,Asterales,Asteraceae,Grazielia serrata ,chirca,No Prioritaria,Si
49,Vasculares,Asterales,Asteraceae,Grindelia buphthalmoides ,NA,PRIORITARIA SNAP,Si
47,Vasculares,Asterales,Asteraceae,Grindelia linearifolia,NA,PRIORITARIA SNAP,Si
48,Vasculares,Asterales,Asteraceae,Grindelia orientalis,NA,PRIORITARIA SNAP,Si
39,Vasculares,Asterales,Asteraceae,Gyptis lanigera ,NA,No Prioritaria,Si
52,Vasculares,Asterales,Asteraceae,Holocheilus illustris,NA,PRIORITARIA SNAP,Si
53,Vasculares,Asterales,Asteraceae,Hymenoxys tweediei,NA,PRIORITARIA SNAP,Si
55,Vasculares,Asterales,Asteraceae,Hypochaeris neopinnatifida ,NA,PRIORITARIA SNAP,Si
54,Vasculares,Asterales,Asteraceae,Hypochaeris petiolaris ,NA,PRIORITARIA SNAP,Si
56,Vasculares,Asterales,Asteraceae,Ianthopappus corymbosus,NA,PRIORITARIA SNAP,Si
57,Vasculares,Asterales,Asteraceae,Leptostelma meyeri,NA,PRIORITARIA SNAP,Si
94,Vasculares,Asterales,Asteraceae,Lessingianthus glabratus ,NA,PRIORITARIA SNAP,Si
92,Vasculares,Asterales,Asteraceae,Lessingianthus macrocephalus ,NA,PRIORITARIA SNAP,Si
43,Vasculares,Asterales,Asteraceae,Malmeanthus subintegerrimus ,chirca de monte,PRIORITARIA SNAP,Si
58,Vasculares,Asterales,Asteraceae,Microgyne marchesiana,NA,PRIORITARIA SNAP,Si
59,Vasculares,Asterales,Asteraceae,Micropsis dasycarpa,NA,PRIORITARIA SNAP,Si
60,Vasculares,Asterales,Asteraceae,Mikania variifolia,NA,PRIORITARIA SNAP,Si
46,Vasculares,Asterales,Asteraceae,Moquiniastrum polymorphum,cambará,No Prioritaria,Si
61,Vasculares,Asterales,Asteraceae,Noticastrum calvatum ,NA,PRIORITARIA SNAP,Si
62,Vasculares,Asterales,Asteraceae,Noticastrum chebataroffii,NA,PRIORITARIA SNAP,Si
63,Vasculares,Asterales,Asteraceae,Noticastrum malmei,NA,PRIORITARIA SNAP,Si
64,Vasculares,Asterales,Asteraceae,Panphalea cardaminifolia,NA,PRIORITARIA SNAP,Si
65,Vasculares,Asterales,Asteraceae,Panphalea maxima,NA,PRIORITARIA SNAP,Si
66,Vasculares,Asterales,Asteraceae,Perezia kingii,NA,PRIORITARIA SNAP,Si
67,Vasculares,Asterales,Asteraceae,Perezia squarrosa,NA,PRIORITARIA SNAP,Si
28,Vasculares,Asterales,Asteraceae,Plectocephalus tweediei ,NA,PRIORITARIA SNAP,Si
68,Vasculares,Asterales,Asteraceae,Porophyllum linifolium ,NA,PRIORITARIA SNAP,Si
69,Vasculares,Asterales,Asteraceae,Radlkoferotoma berroi,NA,PRIORITARIA SNAP,Si
70,Vasculares,Asterales,Asteraceae,Radlkoferotoma cistifolium,NA,PRIORITARIA SNAP,Si
41,Vasculares,Asterales,Asteraceae,Raulinoreitzia crenulata ,NA,PRIORITARIA SNAP,Si
44,Vasculares,Asterales,Asteraceae,Raulinoreitzia tremula ,chirca de bañado,No Prioritaria,Si
71,Vasculares,Asterales,Asteraceae,Schlechtendalia luzulaefolia,NA,PRIORITARIA SNAP,Si
72,Vasculares,Asterales,Asteraceae,Senecio cisplatinus,NA,PRIORITARIA SNAP,Si
73,Vasculares,Asterales,Asteraceae,Senecio icoglossoides,NA,PRIORITARIA SNAP,Si
74,Vasculares,Asterales,Asteraceae,Senecio icoglossus,NA,PRIORITARIA SNAP,Si
75,Vasculares,Asterales,Asteraceae,Senecio madagascariensis,senecio,No evaluada,No
76,Vasculares,Asterales,Asteraceae,Senecio mattfeldianus,NA,PRIORITARIA SNAP,Si
77,Vasculares,Asterales,Asteraceae,Senecio ostenii,NA,PRIORITARIA SNAP,Si
79,Vasculares,Asterales,Asteraceae,Senecio tacuaremboensis,NA,PRIORITARIA SNAP,Si
80,Vasculares,Asterales,Asteraceae,Sommerfeltia cabrerae,NA,PRIORITARIA SNAP,Si
81,Vasculares,Asterales,Asteraceae,Sommerfeltia spinulosa,NA,PRIORITARIA SNAP,Si
82,Vasculares,Asterales,Asteraceae,Stevia congesta,NA,PRIORITARIA SNAP,Si
83,Vasculares,Asterales,Asteraceae,Tessaria dodoneifolia,NA,PRIORITARIA SNAP,Si
84,Vasculares,Asterales,Asteraceae,Tessaria integrifolia,aliso de río,PRIORITARIA SNAP,Si
85,Vasculares,Asterales,Asteraceae,Trichocline catharinensis,NA,PRIORITARIA SNAP,Si
86,Vasculares,Asterales,Asteraceae,Trichocline heterophylla,NA,PRIORITARIA SNAP,Si
87,Vasculares,Asterales,Asteraceae,Trichocline maxima,NA,PRIORITARIA SNAP,Si
88,Vasculares,Asterales,Asteraceae,Trixis divaricata,NA,PRIORITARIA SNAP,Si
89,Vasculares,Asterales,Asteraceae,Trixis lessingii,NA,PRIORITARIA SNAP,Si
90,Vasculares,Asterales,Asteraceae,Trixis praestans,tabaquillo del monte,No Prioritaria,Si
91,Vasculares,Asterales,Asteraceae,Verbesina subcordata,NA,No Prioritaria,Si
93,Vasculares,Asterales,Asteraceae,Vernonanthura montevidensis ,chirca de bañado,No Prioritaria,Si
95,Vasculares,Asterales,Asteraceae,Vernonanthura pseudolinearifolia ,NA,PRIORITARIA SNAP,Si
99,Vasculares,Caryophyllales,Cactaceae,Cereus stenogonus,NA,PRIORITARIA SNAP,Si
100,Vasculares,Caryophyllales,Cactaceae,Frailea castanea,NA,PRIORITARIA SNAP,Si
101,Vasculares,Caryophyllales,Cactaceae,Frailea gracillima,NA,PRIORITARIA SNAP,Si
102,Vasculares,Caryophyllales,Cactaceae,Frailea pumila,NA,PRIORITARIA SNAP,Si
103,Vasculares,Caryophyllales,Cactaceae,Frailea schilinzkyana,NA,PRIORITARIA SNAP,Si
104,Vasculares,Caryophyllales,Cactaceae,Gymnocalycium denudatum,NA,PRIORITARIA SNAP,Si
105,Vasculares,Caryophyllales,Cactaceae,Gymnocalycium schroederianum,NA,PRIORITARIA SNAP,Si
106,Vasculares,Caryophyllales,Cactaceae,Harrisia pomanensis ,NA,PRIORITARIA SNAP,Si
117,Vasculares,Caryophyllales,Cactaceae,Opuntia anacantha ,NA,PRIORITARIA SNAP,Si
118,Vasculares,Caryophyllales,Cactaceae,Opuntia sulphurea,NA,PRIORITARIA SNAP,Si
109,Vasculares,Caryophyllales,Cactaceae,Parodia allosiphon ,NA,PRIORITARIA SNAP,Si
110,Vasculares,Caryophyllales,Cactaceae,Parodia buiningii ,NA,PRIORITARIA SNAP,Si
111,Vasculares,Caryophyllales,Cactaceae,Parodia herteri ,NA,PRIORITARIA SNAP,Si
122,Vasculares,Caryophyllales,Cactaceae,Parodia langsdorfii,NA,PRIORITARIA SNAP,Si
112,Vasculares,Caryophyllales,Cactaceae,Parodia linkii ,NA,PRIORITARIA SNAP,Si
114,Vasculares,Caryophyllales,Cactaceae,Parodia mueller-melchersii ,NA,PRIORITARIA SNAP,Si
115,Vasculares,Caryophyllales,Cactaceae,Parodia tabularis ,NA,PRIORITARIA SNAP,Si
113,Vasculares,Caryophyllales,Cactaceae,Parodia tenuicylindrica ,NA,PRIORITARIA SNAP,Si
116,Vasculares,Caryophyllales,Cactaceae,Parodia wedermanniana ,NA,PRIORITARIA SNAP,Si
119,Vasculares,Caryophyllales,Cactaceae,Pereskia nemorosa,NA,PRIORITARIA SNAP,Si
120,Vasculares,Caryophyllales,Cactaceae,Rhipsalis cereuscula,NA,PRIORITARIA SNAP,Si
107,Vasculares,Caryophyllales,Cactaceae,Rhipsalis cruciforme ,NA,PRIORITARIA SNAP,Si
108,Vasculares,Caryophyllales,Cactaceae,Rhipsalis floccosa,NA,PRIORITARIA SNAP,Si
121,Vasculares,Caryophyllales,Cactaceae,Wigginsia corynodes ,NA,PRIORITARIA SNAP,Si
123,Vasculares,Fabales,Fabaceae,Acacia bonariensis,uña de gato,No Prioritaria,Si
126,Vasculares,Fabales,Fabaceae,Aeschynomene montevidensis,algodonillo,No Prioritaria,Si
127,Vasculares,Fabales,Fabaceae,Albizia inundata,timbó blanco,No Prioritaria,Si
128,Vasculares,Fabales,Fabaceae,Bauhinia forficata,pezuña de vaca,No Prioritaria,Si
130,Vasculares,Fabales,Fabaceae,Caesalpinia gilliesii,barba de chivo,No Prioritaria,Si
131,Vasculares,Fabales,Fabaceae,Caesalpinia rubicunda,NA,No evaluada,Si
132,Vasculares,Fabales,Fabaceae,Calliandra brevipes,plumerillo rosado,No Prioritaria,Si
133,Vasculares,Fabales,Fabaceae,Calliandra parvifolia,plumerillo rosado,No Prioritaria,Si
135,Vasculares,Fabales,Fabaceae,Collaea stenophylla,NA,No Prioritaria,Si
136,Vasculares,Fabales,Fabaceae,Crotalaria micans,NA,No Prioritaria,Si
146,Vasculares,Fabales,Fabaceae,Dahlstedtia muehlbergiana ,lapachillo,No Prioritaria,Si
137,Vasculares,Fabales,Fabaceae,Dalbergia frutescens,palo rosa,No Prioritaria,Si
138,Vasculares,Fabales,Fabaceae,Enterolobium contortisiliquum,timbó,No Prioritaria,Si
139,Vasculares,Fabales,Fabaceae,Erythrina crista-galli,ceibo,No Prioritaria,Si
134,Vasculares,Fabales,Fabaceae,Erythrostemon gilliesii ,plumerillo rojo,No Prioritaria,Si
140,Vasculares,Fabales,Fabaceae,Geoffroea decorticans,chañar,No Prioritaria,Si
141,Vasculares,Fabales,Fabaceae,Gleditsia amorphoides,espina corona,PRIORITARIA SNAP,Si
143,Vasculares,Fabales,Fabaceae,Gleditsia triacanthos,"espina de cristo ,  acacia de tres espinas ,  acacia negra",No evaluada,No
144,Vasculares,Fabales,Fabaceae,Indigofera suffruticosa,añil,No Prioritaria,Si
145,Vasculares,Fabales,Fabaceae,Inga vera,ingá,No Prioritaria,Si
147,Vasculares,Fabales,Fabaceae,Lonchocarpus nitidus,lapachillo,No Prioritaria,Si
148,Vasculares,Fabales,Fabaceae,Mimosa adpressa,rama negra,No Prioritaria,Si
149,Vasculares,Fabales,Fabaceae,Mimosa amphigena,mimosa,No Prioritaria,Si
150,Vasculares,Fabales,Fabaceae,Mimosa australis,mimosa,PRIORITARIA SNAP,Si
151,Vasculares,Fabales,Fabaceae,Mimosa berroi,vergonzosa,PRIORITARIA SNAP,Si
152,Vasculares,Fabales,Fabaceae,Mimosa bifurca,aromita,PRIORITARIA SNAP,Si
153,Vasculares,Fabales,Fabaceae,Mimosa bimucronata,NA,PRIORITARIA SNAP,Si
154,Vasculares,Fabales,Fabaceae,Mimosa bonplandii,mimosa,PRIORITARIA SNAP,Si
155,Vasculares,Fabales,Fabaceae,Mimosa burkartii,mimosa,PRIORITARIA SNAP,Si
156,Vasculares,Fabales,Fabaceae,Mimosa cruenta,mimosa,PRIORITARIA SNAP,Si
157,Vasculares,Fabales,Fabaceae,Mimosa daleoides,mimosa de flor amarilla,No Prioritaria,Si
158,Vasculares,Fabales,Fabaceae,Mimosa incana,NA,No Prioritaria,Si
159,Vasculares,Fabales,Fabaceae,Mimosa magentea,mimosa,PRIORITARIA SNAP,Si
160,Vasculares,Fabales,Fabaceae,Mimosa ostenii,espinillo enganchador,PRIORITARIA SNAP,Si
161,Vasculares,Fabales,Fabaceae,Mimosa pigra,mimosa,No Prioritaria,Si
162,Vasculares,Fabales,Fabaceae,Mimosa pilulifera,rama negra,No Prioritaria,Si
163,Vasculares,Fabales,Fabaceae,Mimosa ramulosa,mimosa,No Prioritaria,Si
164,Vasculares,Fabales,Fabaceae,Mimosa sprengelii,mimosa,No Prioritaria,Si
165,Vasculares,Fabales,Fabaceae,Mimosa tweedieana,mimosa,PRIORITARIA SNAP,Si
166,Vasculares,Fabales,Fabaceae,Mimosa uraguensis,mimosa,No Prioritaria,Si
167,Vasculares,Fabales,Fabaceae,Parapiptadenia rigida,angico,No Prioritaria,Si
168,Vasculares,Fabales,Fabaceae,Parkinsonia aculeata,cina cina,No Prioritaria,Si
169,Vasculares,Fabales,Fabaceae,Peltophorum dubium,ibirapitá,PRIORITARIA SNAP,Si
170,Vasculares,Fabales,Fabaceae,Poecilanthe parviflora,lapachillo,No Prioritaria,Si
129,Vasculares,Fabales,Fabaceae,Pomaria rubicunda ,NA,No evaluada,Si
171,Vasculares,Fabales,Fabaceae,Prosopis affinis,ñandubay,PRIORITARIA SNAP,Si
172,Vasculares,Fabales,Fabaceae,Prosopis nigra,algarrobo negro,PRIORITARIA SNAP,Si
125,Vasculares,Fabales,Fabaceae,Senegalia praecox ,NA,PRIORITARIA SNAP,Si
173,Vasculares,Fabales,Fabaceae,Senna corymbosa,rama negra,No Prioritaria,Si
174,Vasculares,Fabales,Fabaceae,Senna pendula,NA,PRIORITARIA SNAP,Si
175,Vasculares,Fabales,Fabaceae,Sesbania punicea,acacia mansa,No Prioritaria,Si
176,Vasculares,Fabales,Fabaceae,Sesbania virgata,acacia mansa,No Prioritaria,Si
124,Vasculares,Fabales,Fabaceae,Vachellia caven ,espinillo,No Prioritaria,Si
177,Vasculares,Solanales,Solanaceae,Calibrachoa humilis,NA,PRIORITARIA,Si
178,Vasculares,Solanales,Solanaceae,Calibrachoa thymifolia ,NA,PRIORITARIA,Si
179,Vasculares,Solanales,Solanaceae,Capsicum baccatum,NA,PRIORITARIA,Si
180,Vasculares,Solanales,Solanaceae,Cestrum euanthes,duraznillo negro,No Prioritaria,Si
181,Vasculares,Solanales,Solanaceae,Cestrum parqui,duraznillo negro,No Prioritaria,Si
182,Vasculares,Solanales,Solanaceae,Cestrum strigillatum,durzanillo,No Prioritaria,Si
183,Vasculares,Solanales,Solanaceae,Lycium boerhaviaefolium ,NA,No Prioritaria,Si
184,Vasculares,Solanales,Solanaceae,Lycium cestroides,talilla,PRIORITARIA,Si
185,Vasculares,Solanales,Solanaceae,Lycium ciliatum,talilla,PRIORITARIA,Si
186,Vasculares,Solanales,Solanaceae,Lycium vimineum,talilla,PRIORITARIA,Si
187,Vasculares,Solanales,Solanaceae,Nierembergia aristata,NA,PRIORITARIA,Si
188,Vasculares,Solanales,Solanaceae,Nierembergia calycina,NA,PRIORITARIA,Si
189,Vasculares,Solanales,Solanaceae,Nierembergia ericoides,NA,PRIORITARIA,Si
190,Vasculares,Solanales,Solanaceae,Nierembergia micrantha,NA,PRIORITARIA,Si
191,Vasculares,Solanales,Solanaceae,Petunia integrifolia,NA,PRIORITARIA,Si
192,Vasculares,Solanales,Solanaceae,Sclerophylax lorentzianus,NA,PRIORITARIA,Si
193,Vasculares,Solanales,Solanaceae,Sessea vestioides,NA,PRIORITARIA,Si
194,Vasculares,Solanales,Solanaceae,Solanum bonariense,naranjillo,No Prioritaria,Si
195,Vasculares,Solanales,Solanaceae,Solanum chacoense,NA,PRIORITARIA,Si
197,Vasculares,Solanales,Solanaceae,Solanum glaucophyllum,duraznillo de bañado,No Prioritaria,Si
198,Vasculares,Solanales,Solanaceae,Solanum granulosoleprosum,tabaquillo del monte,No Prioritaria,Si
196,Vasculares,Solanales,Solanaceae,Solanum malmeanum,NA,PRIORITARIA,Si
199,Vasculares,Solanales,Solanaceae,Solanum mauritianum,tabaquillo del monte,No Prioritaria,Si
200,Vasculares,Solanales,Solanaceae,Solanum platense,NA,PRIORITARIA,Si
201,Vasculares,Solanales,Solanaceae,Solanum pygmaeum,NA,PRIORITARIA,Si
202,Vasculares,Solanales,Solanaceae,Solanum sanctae-catharinae,NA,No Prioritaria,Si
203,Vasculares,Solanales,Solanaceae,Solanum tucumanense,NA,PRIORITARIA,Si
204,Vasculares,Solanales,Solanaceae,Vassobia breviflora,NA,No Prioritaria,Si
